iter	Passed	Remaining
261	1403	1810
262	1408	1804
263	1414	1799
264	1420	1795
265	1426	1790
266	1431	1785
267	1437	1780
268	1442	1775
269	1448	1769
270	1453	1764
271	1458	1758
272	1463	1753
273	1469	1747
274	1473	1741
275	1479	1736
276	1484	1730
277	1489	1725
278	1494	1719
279	1500	1714
280	1506	1709
281	1511	1704
282	1518	1701
283	1524	1696
284	1529	1690
285	1534	1684
286	1540	1679
287	1545	1674
288	1551	1669
289	1556	1663
290	1561	1658
291	1566	1652
292	1571	1646
293	1576	1641
294	1581	1635
295	1586	1629
296	1592	1624
297	1598	1619
298	1603	1614
299	1608	1608
300	1613	1602
301	1619	1598
302	1624	1591
303	1629	1586
304	1634	1580
305	1639	1575
306	1645	1570
307	1649	1564
308	1655	1559
309	1661	1553
310	1666	1548
311	1672	1543
312	1676	1537
313	1681	1531
314	1687	1526
315	1692	1521
316	1698	1516
317	1703	1511
318	1709	1505
319	1716	1501
320	1721	1496
321	1726	1490
322	1731	1485
323	1736	1479
324	1741	1473
325	1746	1468
326	1752	1462
327	1757	1457
328	1762	1451
329	1767	1446
330	1773	1441
331	1778	1435
332	1783	1429
333	1788	1424
334	1793	1419
335	1799	1413
336	1805	1408
337	1810	1403
338	1816	1398
339	1822	1393
340	1827	1387
341	1832	1382
342	1838	1377
343	1842	1371
344	1847	1365
345	1852	1360
346	1858	1355
347	1863	1349
348	1868	1344
349	1874	1338
350	1879	1333
351	1883	1327
352	1888	1321
353	1893	1316
354	1898	1310
355	1903	1304
356	1908	1298
357	1913	1293
358	1919	1288
359	1925	1283
360	1930	1277
361	1935	1272
362	1940	1266
363	1946	1261
364	1951	1256
365	1955	1250
366	1961	1245
367	1966	1239
368	1971	1234
369	1977	1229
370	1982	1223
371	1988	1218
372	1994	1213
373	1999	1208
374	2004	1202
375	2009	1196
376	2014	1191
377	2020	1186
378	2025	1181
379	2030	1175
380	2036	1170
381	2041	1165
382	2046	1159
383	2051	1154
384	2057	1148
385	2062	1143
386	2067	1138
387	2073	1132
388	2078	1127
389	2083	1121
390	2088	1116
391	2093	1110
392	2098	1105
393	2103	1100
394	2109	1094
395	2114	1089
396	2121	1084
397	2126	1079
398	2131	1073
399	2136	1068
400	2141	1062
401	2146	1057
402	2151	1051
403	2156	1046
404	2162	1041
405	2167	1035
406	2173	1030
407	2178	1025
408	2183	1019
409	2188	1014
410	2193	1008
411	2197	1002
412	2202	997
413	2207	991
414	2213	986
415	2219	981
416	2225	976
417	2230	971
418	2235	965
419	2241	960
420	2246	955
421	2251	949
422	2256	944
